Original CSV fieldname,Question No,Original Question text,Original answer,Table,Column Name,Type (if not str)
13: Something else?:What’s your employment status?,13,What’s your employment status?,Something else?,q12q15_current_company,employment_status_writein,
14: How long have you worked at your current company?,14,How long have you worked at your current company?,,q12q15_current_company,current_company_employment_time,
15: Is your company located in Silicon Valley (San Francisco and the surrounding area)?,15,Is your company located in Silicon Valley (San Francisco and the surrounding area)?,,q12q15_current_company,current_company_in_silicon_valley,boolean
16: How would you describe what you primarily do at your current job?,16,How would you describe what you primarily do at your current job?,,q16q20_current_job,current_job_function,
16: I do something else:How would you describe what you primarily do at your current job?,16,How would you describe what you primarily do at your current job?,I do something else,q16q20_current_job,current_job_function_writein,
17: How long have you been in your current position?,17,How long have you been in your current position?,,q16q20_current_job,current_job_employment_time,
"18: What’s your current job's seniority level, on a scale of 1 (lowest) to 5 (highest)? ",18,"What’s your current job's seniority level, on a scale of 1 (lowest) to 5 (highest)? ",,q16q20_current_job,senority_level,int
19: How big is the team you work on?,19,How big is the team you work on?,,q16q20_current_job,team_size,
20: Do you primarily work remotely?,20,Do you primarily work remotely?,,q16q20_current_job,work_remotely,boolean
21: Are you currently in school?,21,Are you currently in school?,,q21q24_education,in_school,
"21: Yes, for something else:Are you currently in school?",21,Are you currently in school?,"Yes, for something else",q21q24_education,in_school_writein,
22: Do you have a computer science or software engineering degree?,22,Do you have a computer science or software engineering degree?,,q21q24_education,have_cs_degree,
23: What’s the highest level of traditional education you’ve completed?,23,What’s the highest level of traditional education you’ve completed?,,q21q24_education,highest_education_level,
24: Have you graduated from a coding bootcamp or similar?,24,Have you graduated from a coding bootcamp or similar?,,q21q24_education,coding_bootcamp,
25: How long have you worked as a professional software engineer?,25,How long have you worked as a professional software engineer?,,q25q30_career,how_long_worked_as_software_engineer,
"26: How would you, in general, describe the work you've done in your career?",26,"How would you, in general, describe the work you've done in your career?",,q25q30_career,overall_career_work_type,
"26: I do something else:How would you, in general, describe the work you've done in your career?",26,"How would you, in general, describe the work you've done in your career?",I do something else,q25q30_career,overall_career_work_type_writein,
27: How would you describe the kinds of companies you’ve worked for?,27,How would you describe the kinds of companies you’ve worked for?,,q25q30_career,overall_career_company_type,
"28: How long do you stay at a job, on average?",28,"How long do you stay at a job, on average?",,q25q30_career,average_job_length,
"29: If you had to look for a job tomorrow, how easy would it be to find a comparable one?",29,"If you had to look for a job tomorrow, how easy would it be to find a comparable one?",,q25q30_career,how_easy_to_find_job,
"30: If you had to look for a job tomorrow, how easy would it be to find a comparable one that made you happy?",30,"If you had to look for a job tomorrow, how easy would it be to find a comparable one that made you happy?",,q25q30_career,how_easy_to_find_job_makes_you_happy,
31: How old are you?,31,How old are you?,,q31q36_demographics,age,
32: What's your gender?,32,What's your gender?,,q31q36_demographics,gender,
32: Other - Write In:What's your gender?,32,What's your gender?,Other - Write In,q31q36_demographics,gender_writein,
33: What's your ethnic background?,33,What's your ethnic background?,,q31q36_demographics,ethnicity,
33: Other - Write In:What's your ethnic background?,33,What's your ethnic background?,Other - Write In,q31q36_demographics,ethnicity_writein,
34: What's your nationality?,34,What's your nationality?,,q31q36_demographics,nationality,
"35: Are there other people dependent on your income, e.g. a stay at home spouse, children, aging parents, etc?",35,"Are there other people dependent on your income, e.g. a stay at home spouse, children, aging parents, etc?",,q31q36_demographics,have_dependents,boolean
"36: Can I include your responses in a public data set, so that others can analyze this data too? (I’ll take out all personally identifiable information.)",36,"Can I include your responses in a public data set, so that others can analyze this data too? (I’ll take out all personally identifiable information.)",,q31q36_demographics,my_answers_are_public,boolean
